"Time","Particulas_PM25"
2022-03-08 04:45:20,41 μg/m³
2022-03-08 04:46:21,39 μg/m³
2022-03-08 04:47:21,41 μg/m³
2022-03-08 04:48:21,42 μg/m³
2022-03-08 04:49:27,43 μg/m³
2022-03-08 04:54:28,37 μg/m³
2022-03-08 04:59:28,35 μg/m³
2022-03-08 05:04:28,34 μg/m³
2022-03-08 05:09:28,33 μg/m³
2022-03-08 05:14:28,33 μg/m³
2022-03-08 05:19:29,26 μg/m³
2022-03-08 05:24:29,25 μg/m³
2022-03-08 05:29:29,29 μg/m³
2022-03-08 05:34:29,30 μg/m³
2022-03-08 05:39:30,29 μg/m³
2022-03-08 05:44:30,27 μg/m³
2022-03-08 05:49:30,22 μg/m³
2022-03-08 05:54:30,18 μg/m³
2022-03-08 05:59:31,14 μg/m³
2022-03-08 06:04:31,17 μg/m³
2022-03-08 06:09:31,19 μg/m³
2022-03-08 06:14:31,21 μg/m³
2022-03-08 06:19:32,18 μg/m³
2022-03-08 06:24:32,14 μg/m³
2022-03-08 06:29:32,16 μg/m³
2022-03-08 06:34:33,15 μg/m³
2022-03-08 06:39:33,15 μg/m³
2022-03-08 06:44:33,16 μg/m³
2022-03-08 06:49:33,16 μg/m³
2022-03-08 06:54:33,15 μg/m³
2022-03-08 06:59:34,14 μg/m³
2022-03-08 07:04:34,14 μg/m³
2022-03-08 07:44:41,16 μg/m³
2022-03-08 07:49:41,16 μg/m³
2022-03-08 07:54:41,18 μg/m³
2022-03-08 07:59:42,17 μg/m³
2022-03-08 08:04:42,21 μg/m³
2022-03-08 08:09:42,16 μg/m³
2022-03-08 08:14:42,17 μg/m³
2022-03-08 08:19:42,16 μg/m³
2022-03-08 08:24:43,21 μg/m³
2022-03-08 08:29:43,15 μg/m³
2022-03-08 08:34:43,14 μg/m³
2022-03-08 08:39:43,27 μg/m³
2022-03-08 08:44:43,30 μg/m³
2022-03-08 08:49:44,29 μg/m³
2022-03-08 08:54:44,29 μg/m³
2022-03-08 08:59:44,27 μg/m³
2022-03-08 09:04:44,29 μg/m³
2022-03-08 09:09:44,29 μg/m³
2022-03-08 09:14:45,24 μg/m³
2022-03-08 09:19:45,29 μg/m³
2022-03-08 09:24:45,27 μg/m³
2022-03-08 09:29:45,29 μg/m³
2022-03-08 09:34:46,30 μg/m³
2022-03-08 09:39:46,35 μg/m³
2022-03-08 09:44:46,35 μg/m³
2022-03-08 09:49:46,33 μg/m³
2022-03-08 09:54:46,41 μg/m³
2022-03-08 09:59:47,40 μg/m³
2022-03-08 10:04:47,33 μg/m³
2022-03-08 10:09:47,37 μg/m³
2022-03-08 10:14:47,45 μg/m³
2022-03-08 10:19:48,41 μg/m³
2022-03-08 10:24:48,34 μg/m³
2022-03-08 10:29:48,30 μg/m³
2022-03-08 10:34:48,33 μg/m³
2022-03-08 10:39:49,35 μg/m³
2022-03-08 10:44:49,20 μg/m³
2022-03-08 10:49:49,27 μg/m³
2022-03-08 10:54:49,24 μg/m³
2022-03-08 10:59:50,30 μg/m³
2022-03-08 11:04:50,29 μg/m³
2022-03-08 11:09:50,32 μg/m³
2022-03-08 11:14:51,35 μg/m³
2022-03-08 11:19:51,37 μg/m³
2022-03-08 11:24:51,36 μg/m³
2022-03-08 11:29:51,43 μg/m³
2022-03-08 11:34:51,40 μg/m³
2022-03-08 11:39:52,45 μg/m³
2022-03-08 11:44:52,38 μg/m³
2022-03-08 11:49:52,40 μg/m³
2022-03-08 11:54:52,52 μg/m³
2022-03-08 11:59:52,50 μg/m³
2022-03-08 12:04:53,51 μg/m³
2022-03-08 12:09:53,42 μg/m³
2022-03-08 12:14:53,45 μg/m³
2022-03-08 12:19:53,51 μg/m³
2022-03-08 12:24:53,52 μg/m³
2022-03-08 12:29:54,55 μg/m³
2022-03-08 12:34:54,59 μg/m³
2022-03-08 12:39:54,47 μg/m³
2022-03-08 12:44:54,45 μg/m³
2022-03-08 12:49:55,46 μg/m³
2022-03-08 12:54:55,68 μg/m³
2022-03-08 12:59:55,45 μg/m³
2022-03-08 13:04:55,55 μg/m³
2022-03-08 13:09:55,50 μg/m³
2022-03-08 13:14:55,61 μg/m³
2022-03-08 13:19:56,70 μg/m³
2022-03-08 13:25:06,96 μg/m³
2022-03-08 13:30:16,72 μg/m³
2022-03-08 13:35:26,65 μg/m³
2022-03-08 13:40:26,70 μg/m³
2022-03-08 13:52:23,75 μg/m³
2022-03-08 13:57:33,73 μg/m³
2022-03-08 14:02:44,75 μg/m³
2022-03-08 14:07:54,70 μg/m³
2022-03-08 14:13:04,76 μg/m³
2022-03-08 14:18:14,78 μg/m³
2022-03-08 14:23:25,73 μg/m³
2022-03-08 14:28:35,81 μg/m³
2022-03-08 14:33:45,76 μg/m³
2022-03-08 14:38:55,75 μg/m³
2022-03-08 14:44:05,72 μg/m³
2022-03-08 14:49:16,67 μg/m³
2022-03-08 14:54:16,68 μg/m³
2022-03-08 14:59:26,69 μg/m³
2022-03-08 15:04:26,70 μg/m³
2022-03-08 15:09:37,72 μg/m³
2022-03-08 15:14:47,77 μg/m³
2022-03-08 15:19:57,81 μg/m³
2022-03-08 15:25:07,75 μg/m³
2022-03-08 15:30:17,83 μg/m³
2022-03-08 15:35:27,104 μg/m³
2022-03-08 15:40:38,124 μg/m³
2022-03-08 15:45:48,109 μg/m³
2022-03-08 15:50:58,102 μg/m³
2022-03-08 15:56:08,94 μg/m³
2022-03-08 16:01:18,85 μg/m³
2022-03-08 16:06:29,84 μg/m³
2022-03-08 16:11:39,77 μg/m³
2022-03-08 16:16:49,75 μg/m³
2022-03-08 16:21:59,76 μg/m³
2022-03-08 16:27:09,74 μg/m³
2022-03-08 16:32:20,79 μg/m³
2022-03-08 16:37:30,80 μg/m³
2022-03-08 16:42:40,80 μg/m³
2022-03-08 16:47:50,82 μg/m³
2022-03-08 16:53:01,93 μg/m³
2022-03-08 16:58:11,88 μg/m³
2022-03-08 17:03:21,90 μg/m³
2022-03-08 17:08:31,89 μg/m³
2022-03-08 17:13:42,89 μg/m³
2022-03-08 17:18:52,89 μg/m³
2022-03-08 17:24:02,97 μg/m³
2022-03-08 17:29:12,92 μg/m³
2022-03-08 17:34:22,92 μg/m³
2022-03-08 17:39:33,95 μg/m³
2022-03-08 17:44:43,91 μg/m³
2022-03-08 17:49:53,90 μg/m³
2022-03-08 17:55:03,90 μg/m³
2022-03-08 18:00:14,88 μg/m³
2022-03-08 18:05:24,86 μg/m³
2022-03-08 18:10:34,86 μg/m³
2022-03-08 18:15:44,82 μg/m³
2022-03-08 18:20:55,82 μg/m³
2022-03-08 18:26:05,85 μg/m³
2022-03-08 18:31:15,85 μg/m³
2022-03-08 18:36:25,85 μg/m³
2022-03-08 18:41:35,78 μg/m³
2022-03-08 18:46:46,75 μg/m³
2022-03-08 18:51:56,77 μg/m³
2022-03-08 18:57:06,79 μg/m³
2022-03-08 19:02:16,77 μg/m³
2022-03-08 19:07:27,81 μg/m³
2022-03-08 19:12:37,77 μg/m³
2022-03-08 19:17:47,74 μg/m³
2022-03-08 19:22:57,78 μg/m³
2022-03-08 19:28:08,80 μg/m³
2022-03-08 19:33:18,82 μg/m³
2022-03-08 19:38:28,79 μg/m³
2022-03-08 19:43:38,77 μg/m³
2022-03-08 19:48:48,76 μg/m³
2022-03-08 19:53:58,73 μg/m³
2022-03-08 19:59:09,73 μg/m³
2022-03-08 20:04:19,74 μg/m³
2022-03-08 20:09:29,73 μg/m³
2022-03-08 20:14:39,75 μg/m³
2022-03-08 20:19:49,77 μg/m³
2022-03-08 20:25:00,79 μg/m³
2022-03-08 20:30:10,85 μg/m³
2022-03-08 20:35:20,83 μg/m³
2022-03-08 20:40:30,86 μg/m³
2022-03-08 20:45:40,86 μg/m³
2022-03-08 20:50:51,84 μg/m³
2022-03-08 20:56:01,80 μg/m³
2022-03-08 21:01:11,76 μg/m³
2022-03-08 21:06:21,68 μg/m³
2022-03-08 21:11:31,54 μg/m³
2022-03-08 21:16:32,43 μg/m³
2022-03-08 21:21:32,38 μg/m³
2022-03-09 04:17:29,16 μg/m³
2022-03-09 04:22:29,17 μg/m³
2022-03-09 04:27:29,18 μg/m³
2022-03-09 04:32:29,18 μg/m³
2022-03-09 04:37:30,17 μg/m³
2022-03-09 04:42:30,17 μg/m³
2022-03-09 04:47:30,18 μg/m³
2022-03-09 06:15:01,19 μg/m³
2022-03-09 06:56:17,19 μg/m³
2022-03-09 07:01:17,22 μg/m³
2022-03-09 07:06:18,22 μg/m³
2022-03-09 07:11:18,21 μg/m³
2022-03-09 07:16:39,22 μg/m³
2022-03-09 07:21:39,21 μg/m³
2022-03-09 07:26:39,21 μg/m³
2022-03-09 07:31:39,18 μg/m³
2022-03-09 07:36:39,21 μg/m³
2022-03-09 07:41:40,23 μg/m³
2022-03-09 07:46:40,21 μg/m³
2022-03-09 07:51:40,22 μg/m³
2022-03-09 07:56:40,19 μg/m³
2022-03-09 08:01:41,23 μg/m³
2022-03-09 08:06:41,19 μg/m³
2022-03-09 08:11:41,25 μg/m³
2022-03-09 08:16:40,23 μg/m³
2022-03-09 08:21:41,23 μg/m³
2022-03-09 08:26:41,21 μg/m³
2022-03-09 08:31:41,24 μg/m³
2022-03-09 08:37:14,34 μg/m³
2022-03-09 08:42:14,26 μg/m³
2022-03-09 08:44:47,26 μg/m³
2022-03-09 08:50:31,23 μg/m³
2022-03-09 09:05:44,29 μg/m³
2022-03-09 09:10:44,21 μg/m³
2022-03-09 09:17:50,17 μg/m³
2022-03-09 09:22:50,25 μg/m³
2022-03-09 09:27:50,19 μg/m³
2022-03-09 09:32:50,23 μg/m³
2022-03-09 09:37:51,25 μg/m³
2022-03-09 09:42:51,25 μg/m³
2022-03-09 09:47:51,23 μg/m³
2022-03-09 09:52:51,24 μg/m³
2022-03-09 09:57:51,26 μg/m³
2022-03-09 10:02:51,24 μg/m³
2022-03-09 10:07:52,24 μg/m³
2022-03-09 10:12:52,25 μg/m³
2022-03-09 10:16:24,29 μg/m³
2022-03-09 10:21:24,26 μg/m³
2022-03-09 10:26:24,26 μg/m³
2022-03-09 10:31:24,42 μg/m³
2022-03-09 10:36:25,31 μg/m³
2022-03-09 10:41:25,31 μg/m³
2022-03-09 10:46:25,31 μg/m³
2022-03-09 10:51:25,40 μg/m³
2022-03-09 10:56:25,35 μg/m³
2022-03-09 11:01:26,36 μg/m³
2022-03-09 11:06:26,34 μg/m³
2022-03-09 11:11:26,40 μg/m³
2022-03-10 04:13:24,14 μg/m³
2022-03-10 04:16:24,14 μg/m³
2022-03-10 04:21:24,14 μg/m³
2022-03-10 04:26:24,12 μg/m³
2022-03-10 04:31:24,13 μg/m³
2022-03-10 04:36:25,12 μg/m³
2022-03-10 04:41:25,11 μg/m³
2022-03-10 04:46:25,13 μg/m³
2022-03-10 04:51:25,13 μg/m³
2022-03-10 04:56:25,15 μg/m³
2022-03-10 05:01:25,14 μg/m³
2022-03-10 05:06:26,13 μg/m³
2022-03-10 05:11:26,13 μg/m³
2022-03-10 10:21:48,26 μg/m³
2022-03-10 10:26:48,26 μg/m³
2022-03-10 10:31:48,25 μg/m³
2022-03-10 10:36:48,22 μg/m³
2022-03-10 10:41:48,26 μg/m³
2022-03-10 10:46:49,20 μg/m³
2022-03-10 10:51:49,24 μg/m³
2022-03-10 10:56:49,18 μg/m³
2022-03-10 11:01:50,25 μg/m³
2022-03-10 11:06:50,24 μg/m³
2022-03-10 11:11:50,26 μg/m³
2022-03-10 11:16:24,27 μg/m³
2022-03-10 11:21:24,23 μg/m³
2022-03-10 11:26:24,26 μg/m³
2022-03-10 11:31:25,26 μg/m³
2022-03-10 11:36:25,26 μg/m³
2022-03-10 11:48:01,28 μg/m³
2022-03-10 11:51:34,32 μg/m³
2022-03-10 11:56:35,33 μg/m³
2022-03-10 12:01:35,26 μg/m³
2022-03-10 12:06:35,30 μg/m³
2022-03-10 12:11:35,38 μg/m³
2022-03-10 12:16:35,69 μg/m³
2022-03-10 12:21:46,78 μg/m³
2022-03-10 12:26:56,83 μg/m³
2022-03-10 12:32:06,61 μg/m³
2022-03-10 12:37:06,62 μg/m³
2022-03-10 12:42:06,108 μg/m³
2022-03-10 12:47:17,58 μg/m³
2022-03-10 12:52:17,37 μg/m³
2022-03-10 12:57:17,51 μg/m³
2022-03-10 13:02:17,43 μg/m³
2022-03-10 13:07:18,54 μg/m³
2022-03-10 13:12:18,54 μg/m³
2022-03-10 13:17:23,73 μg/m³
2022-03-10 13:22:33,71 μg/m³
2022-03-10 13:27:44,61 μg/m³
2022-03-10 13:32:44,59 μg/m³
2022-03-10 13:37:44,43 μg/m³
2022-03-10 13:42:44,37 μg/m³
2022-03-10 13:47:44,49 μg/m³
2022-03-10 13:52:45,48 μg/m³
2022-03-10 13:57:45,60 μg/m³
2022-03-10 14:02:45,57 μg/m³
2022-03-10 14:07:45,54 μg/m³
2022-03-10 14:12:45,50 μg/m³
2022-03-10 14:17:46,58 μg/m³
